date,price,price_pct_change,a_sopr,puell_multiple,exchange_netflow,difficulty_compression_band,mvrv_z_score,nonzero_balance_addresses,%_utxo_in_profit,nvt,nupl,stablecoin_supply,rhodl,cvdd,rpv,balanced_price,investor_capitalization
2018-05-28,7134.68,-0.03115252529504664,0.9558356635601281,0.988502007608782,-5646.474925954804,0.12108986695970901,0.710055333059723,22152584.0,0.7074396873431931,21.1483108000175,0.25475441859403103,,10311.3830330276,2507.41776854441,0.000200554405297,4435.92128438523,83089351049.6078
2018-05-29,7467.58,0.046659415699092266,0.97706757179607,0.88191034345197,-10046.462420473501,0.120487025563259,0.834848154083168,22155049.0,0.728433207391282,21.36673154962582,0.28875290929923303,,10147.4051068506,2507.95322655707,0.00047471460218600006,4431.75945837573,83016554994.29652
2018-05-30,7406.19,-0.008220869411509568,0.9921740611136741,1.1260690881178599,1806.4737401058956,0.11989124645730001,0.809444614945357,22173066.0,0.7230714672970631,21.904362180524043,0.282718246733814,,10045.749492127,2509.36454759,0.0007329135724490001,4430.26960869566,82993021445.59608
2018-05-31,7491.64,0.011537646212155028,0.9809035393834441,1.10813697435726,1469.3144996310002,0.11930020324582201,0.8444701492583111,22169598.0,0.729178398110605,22.107478374516592,0.291418868872707,,10013.1946930291,2509.81676122883,0.00038033272241800003,4427.284604090535,82938227631.11258
2018-06-01,7539.14,0.006340400766721377,0.9816787084295081,1.07465156416473,-456.415274245599,0.118716097902525,0.8634191889132451,22240110.0,0.733989253270373,22.070666309554777,0.296275299593024,,9653.99881166445,2510.54727095446,0.000362071436701,4424.063112128216,82881255429.50488
2018-06-02,7646.74,0.014272184891114925,0.9992076009842971,0.997007674700185,7452.0005100113995,0.11773596264816201,0.9038119465192441,22253219.0,0.742824268720889,22.445880531512575,0.305712581399604,,9635.55822198551,2510.64897385053,0.000369176121764,4424.3152103532,82880119826.0825
2018-06-03,7720.25,0.00961324695229604,1.00463673965596,1.08129138747413,319.06148481359924,0.11680241989605601,0.931663511009406,22265867.0,0.7459066462950581,22.878458629877482,0.31249797005509,,9767.8461236619,2511.17251799091,0.000457727768925,4425.17458856362,82891257532.0133
2018-06-04,7499.48,-0.02859622421553709,0.983903640300767,1.19228670928774,6048.469465568298,0.11588137641286901,0.846720184707566,22221691.0,0.725832933843208,22.517813768199776,0.29354758798183,,9865.25928214185,2512.45493082006,0.00037767358974600006,4422.239087921913,82841587854.11101
2018-06-05,7625.55,0.01681049886125452,0.9747970186618271,1.1249570483287399,678.3208022906038,0.11804743199622601,0.8954680328918461,22227944.0,0.740744298558004,22.320186579114093,0.305355522653224,,9797.90582356221,2513.23944602385,0.000269979517487,4417.84040430724,82764429477.51031
2018-06-06,7656.09,0.004004957019493771,0.9934357356607091,0.958397301951849,-721.5904316738015,0.12022563341188901,0.9054310086145161,22236484.0,0.744040933206611,22.724295589330918,0.307563307708137,,9523.40925389566,2514.70059205359,0.000606012132198,4416.474565136094,82744001121.3966
2018-06-07,7676.55,0.0026723823779502,0.9938817214467621,0.941104497858501,-1738.4640849069983,0.12217539490991701,0.9154195383267271,22247102.0,0.7422557897911011,23.048211418435336,0.309795923497021,,9229.43882005189,2515.14268460244,0.00039617117922200005,4415.677001896276,82727162124.11604
2018-06-08,7631.9,-0.0058164149259759546,0.982119942551518,0.944508023410874,-11137.645673009603,0.124176151787867,0.8989238181881131,22269677.0,0.7345235079415731,22.730112646435323,0.305669212759758,,9510.82864472734,2516.37453096538,0.000353217524347,4411.999878217353,82665898981.47136
2018-06-09,7565.0,-0.008765838126809755,0.9876429151229591,0.9306632362404751,1067.7310861061997,0.126221139992579,0.89053662533608,22284518.0,0.7217174457273651,22.737428468673546,0.29813173463499404,,9277.42620525109,2516.73827032778,0.00021473606446900003,4410.317459623801,82633569824.46109
